



Advanced Model: 

Advanced Model with 1 hours in block: 

Training Started
Epoch 48 Completed	 Loss 2.112	 Train Accuracy: 0.889	 Test Accuracy: 0.941
Epoch 49 Completed	 Loss 2.094	 Train Accuracy: 0.890	 Test Accuracy: 0.952
Epoch 50 Completed	 Loss 2.076	 Train Accuracy: 0.892	 Test Accuracy: 0.941

Advanced Model with 4 hours in block: 

Training Started
Epoch 1 Completed	 Loss 8.075	 Train Accuracy: 0.763	 Test Accuracy: 0.848
Epoch 2 Completed	 Loss 5.392	 Train Accuracy: 0.796	 Test Accuracy: 0.848
Epoch 3 Completed	 Loss 4.372	 Train Accuracy: 0.810	 Test Accuracy: 0.837
Epoch 4 Completed	 Loss 3.783	 Train Accuracy: 0.817	 Test Accuracy: 0.837
Epoch 5 Completed	 Loss 3.432	 Train Accuracy: 0.822	 Test Accuracy: 0.839
Epoch 6 Completed	 Loss 3.197	 Train Accuracy: 0.824	 Test Accuracy: 0.837
Epoch 7 Completed	 Loss 3.025	 Train Accuracy: 0.828	 Test Accuracy: 0.837
Epoch 8 Completed	 Loss 2.894	 Train Accuracy: 0.829	 Test Accuracy: 0.832
Epoch 9 Completed	 Loss 2.780	 Train Accuracy: 0.832	 Test Accuracy: 0.832
Epoch 10 Completed	 Loss 2.686	 Train Accuracy: 0.833	 Test Accuracy: 0.848
Epoch 11 Completed	 Loss 2.605	 Train Accuracy: 0.836	 Test Accuracy: 0.876
Epoch 12 Completed	 Loss 2.539	 Train Accuracy: 0.838	 Test Accuracy: 0.896
Epoch 13 Completed	 Loss 2.479	 Train Accuracy: 0.842	 Test Accuracy: 0.832
Epoch 14 Completed	 Loss 2.455	 Train Accuracy: 0.839	 Test Accuracy: 0.749
Epoch 15 Completed	 Loss 2.429	 Train Accuracy: 0.839	 Test Accuracy: 0.832
Epoch 16 Completed	 Loss 2.396	 Train Accuracy: 0.839	 Test Accuracy: 0.832
Epoch 17 Completed	 Loss 2.359	 Train Accuracy: 0.841	 Test Accuracy: 0.865
Epoch 18 Completed	 Loss 2.325	 Train Accuracy: 0.842	 Test Accuracy: 0.865
